Abreu e Lima (PE),740917,853291,946179,1113557,1220149,1332105
Afogados da Ingazeira (PE),183839,191904,232806,278970,329764,385424
Afrânio (PE),72009,82805,94983,108331,123723,133829
Agrestina (PE),102180,115743,130074,149573,168244,195357
Água Preta (PE),139841,141819,209774,208802,181039,205688
Águas Belas (PE),152106,168444,195003,221537,242963,267143
Alagoinha (PE),66530,73735,79933,86654,98855,104390
Aliança (PE),182353,200480,204928,212489,233526,257393
Altinho (PE),79387,88401,97856,110693,117968,134682
Amaraji (PE),104462,124547,135805,136955,156830,162612
Angelim (PE),42503,47342,54667,62792,70160,82279
Araçoiaba (PE),56711,67748,74728,79702,96281,114306
Araripina (PE),382031,462791,486868,598091,681296,780245
Arcoverde (PE),394492,447133,535104,683212,779395,870063
Barra de Guabiraba (PE),49191,55069,61590,66788,69626,79524
Barreiros (PE),186590,206234,251207,297113,342398,391612
Belém de Maria (PE),40119,48905,54720,57491,62666,63538
Belém do São Francisco (PE),94571,99820,109857,134683,140902,164120
Belo Jardim (PE),688761,811692,922231,1056492,1265451,1286102
Betânia (PE),57637,46227,54016,56136,59393,70738
Bezerros (PE),282175,381017,437383,503863,528409,587515
Bodocó (PE),131520,144323,154265,170204,189119,209299
Bom Conselho (PE),193052,249367,292350,324775,336222,404637
Bom Jardim (PE),151783,177434,181634,204559,215891,244755
Bonito (PE),178971,219701,245938,259229,271777,302433
Brejão (PE),47170,51371,61760,68969,80516,93521
Brejinho (PE),26827,28450,33337,37715,41258,47595
Brejo da Madre de Deus (PE),149147,179427,193404,224069,243722,281963
Buenos Aires (PE),54626,61594,62959,64085,69592,77893
Buíque (PE),220686,223750,252921,323914,299323,318455
Cabo de Santo Agostinho (PE),3421360,4422989,5518101,6259391,7522346,8462097
Cabrobó (PE),173060,209180,220143,307252,324360,366792
Cachoeirinha (PE),89553,118080,109826,122847,141178,155537
Caetés (PE),85923,93503,103040,138719,142208,158155
Calçado (PE),47930,51404,55018,63615,70081,86310
Calumbi (PE),23960,24535,29332,34400,34686,36984
Camaragibe (PE),655775,816857,894015,1023282,1115451,1322942
Camocim de São Félix (PE),55919,86057,93421,107443,113037,131025
Camutanga (PE),118188,153563,178760,208298,178322,165037
Canhotinho (PE),91819,98519,114579,124648,136098,174370
Capoeiras (PE),86380,99091,106763,118428,125955,144067
Carnaíba (PE),66911,75909,85404,97516,115515,135541
Carnaubeira da Penha (PE),44828,47155,53251,54442,59614,66587
Carpina (PE),477927,711552,772909,949327,1019101,1217386
Caruaru (PE),2722791,3417378,3939283,4809622,5300774,6239417
Casinhas (PE),50146,63527,68951,64292,68748,74583
Catende (PE),162039,213141,203995,206493,240803,263708
Cedro (PE),38983,40678,56020,58239,66097,72039
Chã de Alegria (PE),46383,58386,62332,63167,74628,82545
Chã Grande (PE),111311,122339,127946,130510,148390,161383
Condado (PE),100033,116037,128694,150451,166327,181503
Correntes (PE),70090,75904,86144,92224,103763,111665
Cortês (PE),80259,113094,131227,103497,92527,107447
Cumaru (PE),59145,86152,93004,91736,86252,92458
Cupira (PE),104364,128803,145998,174001,189583,213737
Custódia (PE),167436,232834,237343,276960,284090,329931
Dormentes (PE),77958,94863,117595,134832,149358,164053
Escada (PE),406387,499040,464270,570559,663159,749498
Exu (PE),119482,141179,153231,160364,187868,205438
Feira Nova (PE),68946,80527,88950,111879,128068,138212
Fernando de Noronha (PE),41976,57331,66735,71672,75858,94465
Ferreiros (PE),62079,74248,81390,79866,94241,91135
Flores (PE),80489,83016,99134,99310,108087,126999
Floresta (PE),197492,248290,288008,334830,357062,367184
Frei Miguelinho (PE),49747,55435,60497,68029,73924,84437
Gameleira (PE),109977,114988,136236,139910,167754,190081
Garanhuns (PE),986376,1201193,1366285,1582564,1798795,1897240
Glória do Goitá (PE),105373,123207,130784,166981,266069,360986
Goiana (PE),767738,901542,986928,1197161,1523593,2223372
Granito (PE),30401,33838,35283,39014,43319,47760
Gravatá (PE),417620,548708,646685,752719,854681,941196
Iati (PE),72711,72340,81882,94871,103854,116525
Ibimirim (PE),161119,156426,165853,176975,186120,215284
Ibirajuba (PE),31624,35655,38310,38547,41028,51747
Igarassu (PE),1097248,1244019,1420640,1581025,1960412,2327886
Iguaraci (PE),45180,44467,51406,54487,58893,71093
